game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,game_name,links,global_sales
The Witcher: Enhanced Edition,2008-09-16,86,8.5,38,5450173,46541,1515,0,14780,30,1732,"Role-Playing, Action RPG, Action RPG",M,29,1,0,156,44,44, The Witcher: Enhanced Edition,http://www.vgchartz.com/game/27959/the-witcher-enhanced-edition/,0.32
Warhammer Online: Age of Reckoning,2008-09-16,86,7.9,NA,0,0,0,0,0,54,373,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy",T,52,2,0,102,20,20, Warhammer Online: Age of Reckoning,http://www.vgchartz.com/game/26942/warhammer-online-age-of-reckoning/,0.02
Dead Space,2008-10-20,86,8,NA,0,0,0,0,0,28,1142,"Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",M,27,1,0,158,47,47, Dead Space,http://www.vgchartz.com/game/23324/dead-space/,0.59
Bionic Commando Rearmed,2008-08-13,86,6.9,NA,0,0,0,0,0,15,81,"Action, Platformer, Platformer, 2D, 2D",M,13,2,0,11,3,3, Bionic Commando Rearmed,http://www.vgchartz.com/gamedb/?name=+Bionic+Commando+Rearmed,NA
The Lord of the Rings Online: Mines of Moria,2008-11-17,85,8.2,1,4772,55,0,0,0,24,101,"Role-Playing, Massively Multiplayer Online, Fantasy, Fantasy",T,23,1,0,23,1,1, The Lord of the Rings Online: Mines of Moria,http://www.vgchartz.com/game/26689/the-lord-of-the-rings-online-mines-of-moria/,0.02
Far Cry 2,2008-10-21,85,5.8,1,62,6,0,0,4,34,1367,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",M,26,8,0,129,125,125, Far Cry 2,http://www.vgchartz.com/game/7430/far-cry-2/,0.48
AudioSurf,2008-02-15,85,8.8,23,5260476,25948,965,0,5130,25,712,"Miscellaneous, Rhythm, Music, Music",NA,24,1,0,185,28,28, AudioSurf,http://www.vgchartz.com/gamedb/?name=+AudioSurf,NA
Spore,2008-09-07,84,5.3,NA,0,0,0,0,0,75,1730,"Strategy, Breeding/Constructing, General, Breeding/Constructing",E10+,62,13,0,171,122,122, Spore,http://www.vgchartz.com/game/14151/spore/,1.17
Crysis Warhead,2008-09-16,84,7.9,3,639622,1884,215,0,66,56,531,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,50,6,0,67,24,24, Crysis,http://www.vgchartz.com/game/7182/crysis/,0.71
Call of Duty: World at War,2008-11-10,83,7.5,2,6066,31,2,0,0,36,743,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",M,31,5,0,67,40,40, Call of Duty: World at War,http://www.vgchartz.com/game/23994/call-of-duty-world-at-war/,0.18
Spore Creature Creator,2008-06-17,83,8.1,2,401810,2190,52,0,452,7,60,"Strategy, Breeding/Constructing, General, Breeding/Constructing",E,7,0,0,15,5,5, Spore,http://www.vgchartz.com/game/14151/spore/,1.17
GTR Evolution,2008-09-01,83,8.2,1,6,1,0,0,0,19,64,"Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",E,18,1,0,5,3,3, GTR Evolution,http://www.vgchartz.com/game/25388/gtr-evolution/,0.03
Sid Meier's Civilization IV: Colonization,2008-09-22,83,6.7,1,213,0,0,0,0,32,96,"Strategy, Turn-Based, Historic, Historic, 4X",E10+,28,4,0,11,10,10, Sid Meier's Civilization IV,http://www.vgchartz.com/game/7308/sid-meiers-civilization-iv/,0.16
Command & Conquer: Red Alert 3,2008-10-28,82,6.8,NA,0,0,0,0,0,55,451,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",T,48,7,0,40,28,28, Command & Conquer: Red Alert 3,http://www.vgchartz.com/game/16108/command-amp-conquer-red-alert-3/,0.67
Prince of Persia,2008-12-09,82,7.2,NA,0,0,0,0,0,25,353,"Action Adventure, Fantasy, General, Fantasy",T,22,2,1,20,14,14,Prince of Persia,NA,NA
Age of Conan: Hyborian Adventures,2008-05-20,80,7.3,1,47,1,0,0,0,44,815,"Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Fantasy, Fantasy",M,36,8,0,221,51,51, Age of Conan: Hyborian Adventures,http://www.vgchartz.com/game/14530/age-of-conan-hyborian-adventures/,0
Pure,2008-09-16,80,7,NA,0,0,0,0,0,18,32,"Driving, Racing, Arcade, Arcade, Automobile",E,16,2,0,0,0,0,Pure,http://www.vgchartz.com/gamedb/?name=Pure,0
Tomb Raider: Underworld,2008-11-18,80,7.7,NA,0,0,0,0,0,20,277,"Action Adventure, Modern, General, Modern",T,18,2,0,33,15,15, Tomb Raider: Underworld,http://www.vgchartz.com/game/21885/tomb-raider-underworld/,0.08
Europa Universalis: Rome - Vae Victis,2008-11-19,79,8.6,NA,0,0,0,0,0,7,21,"Strategy, General, General",E10+,5,2,0,2,0,0, Europa Universalis: Rome,http://www.vgchartz.com/game/17394/europa-universalis-rome/,0
Assassin's Creed: Director's Cut Edition,2008-04-08,79,7.5,1,122147,1323,20,0,99,38,824,"Action Adventure, Historic, Historic, Open-World",M,30,8,0,84,56,56, Assassin's Creed,http://www.vgchartz.com/game/16095/assassins-creed/,0.91
King's Bounty: The Legend,2008-09-23,79,8.7,11,108194,707,7,0,173,26,266,"Strategy, Turn-Based, Fantasy, General, Fantasy, Tactics",T,21,5,0,37,4,4, King's Bounty: The Legend,http://www.vgchartz.com/game/18062/kings-bounty-the-legend/,0
LEGO Indiana Jones: The Original Adventures,2008-06-03,78,7.7,1,33644,257,4,0,63,14,35,"Adventure, General, General",E10+,11,3,0,7,0,0, LEGO Indiana Jones: The Original Adventures,http://www.vgchartz.com/game/15201/lego-indiana-jones-the-original-adventures/,0.04
Tom Clancy's Rainbow Six: Vegas 2,2008-04-15,78,7.3,NA,0,0,0,0,0,20,186,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",M,16,4,0,32,16,16, Tom Clancy's Rainbow Six: Vegas 2,http://www.vgchartz.com/game/15671/tom-clancys-rainbow-six-vegas-2/,0.02
Devil May Cry 4,2008-07-08,78,8.5,NA,0,0,0,0,0,21,361,"Action, Action Adventure, Fantasy, Beat-'Em-Up, General, Fantasy, Linear",M,15,6,0,36,5,5, Devil May Cry 4,http://www.vgchartz.com/game/14143/devil-may-cry-4/,0.04
